Engine	Query	Results	Time
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2794997200
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	11539659792
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2630569820
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2630569820
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	10855364995
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2662907268
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2662907268
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	10911434402
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2629653557
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2629653557
