Hops	Prefetcher	Size	Start	End	Vertices Requested	Vertices Evicted	Cache Hits	Cache Misses	Total Runtime	Total DB time	DB calls
100	CTE Lookahead	1	100 169798	171103	37776	0	26308	11468	115206504939725847185	11468
100	CTE Lookahead	1	100 169798	171103	37776	0	26308	11468	109246042139401772040	11468
100	CTE Lookahead	1	100 169798	171103	37776	0	26308	11468	94457584218100331502	11468
100	CTE Lookahead	1	100 169798	171103	37776	0	26308	11468	100161979318571478598	11468
100	CTE Lookahead	1	100 169798	171103	37776	0	26308	11468	97535215738350027505	11468
100	CTE Lookahead	2	100 169798	171103	37776	0	32647	5129	51664922134037417007	5129
100	CTE Lookahead	2	100 169798	171103	37776	0	32647	5129	54384161084309944603	5129
100	CTE Lookahead	2	100 169798	171103	37776	0	32647	5129	54556823044248298265	5129
100	CTE Lookahead	2	100 169798	171103	37776	0	32647	5129	52436850074080102544	5129
100	CTE Lookahead	2	100 169798	171103	37776	0	32647	5129	56290064944411756422	5129
100	CTE Lookahead	3	100 169798	171103	37776	0	35194	2582	34049267712451397100	2582
100	CTE Lookahead	3	100 169798	171103	37776	0	35194	2582	34262485432409538998	2582
100	CTE Lookahead	3	100 169798	171103	37776	0	35194	2582	36565990942628760740	2582
100	CTE Lookahead	3	100 169798	171103	37776	0	35194	2582	35138890492483186050	2582
100	CTE Lookahead	3	100 169798	171103	37776	0	35194	2582	34834689652498222323	2582
100	CTE Lookahead	4	100 169798	171103	37776	0	36224	1552	29407963431968892949	1552
100	CTE Lookahead	4	100 169798	171103	37776	0	36224	1552	29129831651958607649	1552
100	CTE Lookahead	4	100 169798	171103	37776	0	36224	1552	31743649302105460773	1552
100	CTE Lookahead	4	100 169798	171103	37776	0	36224	1552	27718259231780357008	1552
100	CTE Lookahead	4	100 169798	171103	37776	0	36224	1552	33269689802208344794	1552
100	CTE Lookahead	5	100 169798	171103	37776	0	36758	1018	26025150851718557123	1018
100	CTE Lookahead	5	100 169798	171103	37776	0	36758	1018	28106040191850254445	1018
100	CTE Lookahead	5	100 169798	171103	37776	0	36758	1018	30146165951945953355	1018
100	CTE Lookahead	5	100 169798	171103	37776	0	36758	1018	31887220432033082757	1018
100	CTE Lookahead	5	100 169798	171103	37776	0	36758	1018	28996134151911650570	1018
100	CTE Lookahead	6	100 169798	171103	37776	0	37055	721	41246265562846758272	721
100	CTE Lookahead	6	100 169798	171103	37776	0	37055	721	37946312902589621183	721
100	CTE Lookahead	6	100 169798	171103	37776	0	37055	721	40598308192838598952	721
100	CTE Lookahead	6	100 169798	171103	37776	0	37055	721	37492948212645844421	721
100	CTE Lookahead	6	100 169798	171103	37776	0	37055	721	37788940562628880816	721
100	CTE Lookahead	7	100 169798	171103	37776	0	37243	533	69749941755429860750	533
100	CTE Lookahead	7	100 169798	171103	37776	0	37243	533	68567410835317168141	533
100	CTE Lookahead	7	100 169798	171103	37776	0	37243	533	71719017635616976268	533
100	CTE Lookahead	7	100 169798	171103	37776	0	37243	533	69099740185462545806	533
100	CTE Lookahead	7	100 169798	171103	37776	0	37243	533	73281314445718799312	533
100	CTE Lookahead	8	100 169798	171103	37776	0	37370	406	1515060342413099269703	406
100	CTE Lookahead	8	100 169798	171103	37776	0	37370	406	1535969267613280512777	406
100	CTE Lookahead	8	100 169798	171103	37776	0	37370	406	1534712727713269342341	406
100	CTE Lookahead	8	100 169798	171103	37776	0	37370	406	1511374682013104920298	406
100	CTE Lookahead	8	100 169798	171103	37776	0	37370	406	1524853507413222870140	406
100	CTE Lookahead	9	100 169798	171103	37776	0	37455	321	3753124751535201295654	321
100	CTE Lookahead	9	100 169798	171103	37776	0	37455	321	4033960920737975089434	321
100	CTE Lookahead	9	100 169798	171103	37776	0	37455	321	3788602145435539236237	321
100	CTE Lookahead	9	100 169798	171103	37776	0	37455	321	3800620384235734518468	321
100	CTE Lookahead	9	100 169798	171103	37776	0	37455	321	3972061366337452542838	321
100	Lookahead	1	100 169798	171103	37776	0	32658	5118	2289954958521200531838	10236
100	Lookahead	1	100 169798	171103	37776	0	32658	5118	2239134328220816627199	10236
100	Lookahead	1	100 169798	171103	37776	0	32658	5118	2305597774121425999191	10236
100	Lookahead	1	100 169798	171103	37776	0	32658	5118	2261096969621077582030	10236
100	Lookahead	1	100 169798	171103	37776	0	32658	5118	2276607613821154168189	10236
100	Lookahead	5	100 169798	171103	37776	0	37043	733	94664974088125790400	4398
100	Lookahead	5	100 169798	171103	37776	0	37043	733	95244878578048776712	4398
100	Lookahead	5	100 169798	171103	37776	0	37043	733	99754800848493364917	4398
100	Lookahead	5	100 169798	171103	37776	0	37043	733	110947401649564079274	4398
100	Lookahead	5	100 169798	171103	37776	0	37043	733	112569850089724459808	4398
100	Lookahead	10	100 169798	171103	37776	0	37557	219	67555901465214886393	2409
100	Lookahead	10	100 169798	171103	37776	0	37557	219	75898571275926686498	2409
100	Lookahead	10	100 169798	171103	37776	0	37557	219	70981241195574904175	2409
100	Lookahead	10	100 169798	171103	37776	0	37557	219	68268925425236400999	2409
100	Lookahead	10	100 169798	171103	37776	0	37557	219	65257907335017992608	2409
100	Lookahead	20	100 169798	171103	37776	0	37720	56	45990723572997390307	1176
100	Lookahead	20	100 169798	171103	37776	0	37720	56	48874969583147113465	1176
100	Lookahead	20	100 169798	171103	37776	0	37720	56	53149985413444767279	1176
100	Lookahead	20	100 169798	171103	37776	0	37720	56	46313202932998414082	1176
100	Lookahead	20	100 169798	171103	37776	0	37720	56	45627111542994128162	1176
