neo2	50	138513	352297648
Grapht	50	135812	1743672141
Grapht	50	135812	10740227347
neo2	164352	115614	82135046
Grapht	164352	115311	3584253218
Grapht	164352	115311	18441458491
neo2	20756	357176	508347428
Grapht	20756	353972	27677011337
Grapht	20756	353972	164615095235
neo2	151443	432957	710409011
Grapht	151443	432094	33883304789
Grapht	151443	432094	224747558921
neo2	50	138513	24569345
Grapht	50	135812	1241608910
Grapht	50	135812	11423944150
neo2	164352	115614	49309117
Grapht	164352	115311	3592500556
Grapht	164352	115311	19575139234
neo2	20756	357176	425364214
Grapht	20756	353972	26801356906
Grapht	20756	353972	176852641059
neo2	151443	432957	571177090
Grapht	151443	432094	36155598085
Grapht	151443	432094	228609039542
neo2	50	138513	23858299
Grapht	50	135812	1298958858
Grapht	50	135812	11488649983
neo2	164352	115614	53128680
Grapht	164352	115311	3518170185
Grapht	164352	115311	20234337454
neo2	20756	357176	421541499
Grapht	20756	353972	26597900933
Grapht	20756	353972	175801268515
neo2	151443	432957	580758393
Grapht	151443	432094	33371411372
Grapht	151443	432094	224362115521
neo2	50	138513	23086498
Grapht	50	135812	1276513774
Grapht	50	135812	11202542541
neo2	164352	115614	47245404
Grapht	164352	115311	3853683118
Grapht	164352	115311	19380970468
neo2	20756	357176	430843420
Grapht	20756	353972	26381513224
Grapht	20756	353972	178029716877
neo2	151443	432957	622148226
Grapht	151443	432094	33506811477
Grapht	151443	432094	222973283569
neo2	50	138513	23970179
Grapht	50	135812	1246188139
Grapht	50	135812	10536282297
neo2	164352	115614	48740548
Grapht	164352	115311	3952053612
Grapht	164352	115311	20769192643
neo2	20756	357176	437087980
Grapht	20756	353972	27116715726
Grapht	20756	353972	176036373115
neo2	151443	432957	586665611
Grapht	151443	432094	33037546666
Grapht	151443	432094	219150890278
neo2	50	138513	24064724
Grapht	50	135812	1184759372
Grapht	50	135812	11621510207
neo2	164352	115614	47733353
Grapht	164352	115311	3787739261
Grapht	164352	115311	18762342675
neo2	20756	357176	437274257
Grapht	20756	353972	26738093370
Grapht	20756	353972	179765739018
neo2	151443	432957	568546345
Grapht	151443	432094	34091900258
Grapht	151443	432094	224569169473
neo2	50	138513	25139699
Grapht	50	135812	1259540695
Grapht	50	135812	11843731814
neo2	164352	115614	49573228
Grapht	164352	115311	3587508611
Grapht	164352	115311	18993698048
neo2	20756	357176	423454524
Grapht	20756	353972	27257493203
Grapht	20756	353972	176941288930
neo2	151443	432957	569775960
