neo2	50	135812	121	0.692
Grapht	50	135812	121	3.411
neo2	50	135812	121	0.101
Grapht	50	135812	121	2.669
neo2	50	135812	121	0.090
Grapht	50	135812	121	1.856
neo2	50	135812	121	0.044
Grapht	50	135812	121	1.274
neo2	50	135812	121	0.048
Grapht	50	135812	121	1.247
neo2	50	135812	121	0.050
Grapht	50	135812	121	1.265
neo2	50	135812	121	0.037
Grapht	50	135812	121	1.297
neo2	50	135812	121	0.039
Grapht	50	135812	121	1.223
neo2	50	135812	121	0.039
Grapht	50	135812	121	1.389
neo2	50	135812	121	0.049
Grapht	50	135812	121	1.250

neo2	164352	115311	121	0.088
Grapht	164352	115311	121	3.355
neo2	164352	115311	121	0.079
Grapht	164352	115311	121	3.494
neo2	164352	115311	121	0.084
Grapht	164352	115311	121	3.669
neo2	164352	115311	121	0.084
Grapht	164352	115311	121	3.367
neo2	164352	115311	121	0.081
Grapht	164352	115311	121	3.436
neo2	164352	115311	121	0.078
Grapht	164352	115311	121	3.772
neo2	164352	115311	121	0.077
Grapht	164352	115311	121	3.565
neo2	164352	115311	121	0.079
Grapht	164352	115311	121	3.502
neo2	164352	115311	121	0.081
Grapht	164352	115311	121	3.526
neo2	164352	115311	121	0.080
Grapht	164352	115311	121	3.673

neo2	20756	353972	346	0.774
Grapht	20756	353972	346	28.701
neo2	20756	353972	346	0.727
Grapht	20756	353972	346	26.103
neo2	20756	353972	346	0.721
Grapht	20756	353972	346	27.547
neo2	20756	353972	346	0.717
Grapht	20756	353972	346	26.312
neo2	20756	353972	346	0.748
Grapht	20756	353972	346	26.082
neo2	20756	353972	346	0.774
Grapht	20756	353972	346	29.020
neo2	20756	353972	346	0.714
Grapht	20756	353972	346	33.504
neo2	20756	353972	346	0.714
Grapht	20756	353972	346	26.955
neo2	20756	353972	346	0.721
Grapht	20756	353972	346	26.683
neo2	20756	353972	346	0.716
Grapht	20756	353972	346	26.267

neo2	151443	432094	354	1.108
Grapht	151443	432094	354	34.260
neo2	151443	432094	354	1.063
Grapht	151443	432094	354	35.583
neo2	151443	432094	354	1.052
Grapht	151443	432094	354	35.655
neo2	151443	432094	354	1.031
Grapht	151443	432094	354	35.764
neo2	151443	432094	354	1.065
Grapht	151443	432094	354	35.651
neo2	151443	432094	354	1.031
Grapht	151443	432094	354	38.608
neo2	151443	432094	354	1.469
Grapht	151443	432094	354	33.982
neo2	151443	432094	354	0.949
Grapht	151443	432094	354	33.546
neo2	151443	432094	354	0.951
Grapht	151443	432094	354	33.223
neo2	151443	432094	354	1.031
Grapht	151443	432094	354	35.356

[0m[[32msuccess[0m] [0mTotal time: 740 s, completed 25-May-2016 12:13:08[0m
