Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
Lookahead (5),1,50,6573,0,6170,403,5603255358,4922421060,2418
Lookahead (10),1,50,6573,0,6448,125,3963101905,3253192619,1375
Lookahead (20),1,50,6573,0,6541,32,2568608107,1785945152,672
Lookahead (30),1,50,6573,0,6558,15,1907192824,1186422297,465
Lookahead (40),1,50,6573,0,6566,7,1508452733,786904241,287
Lookahead (50),1,50,6573,0,6569,4,1534441401,739575346,204
Lookahead (60),1,50,6573,0,6570,3,1267252582,629199306,183
Lookahead (70),1,50,6573,0,6570,3,1788993660,742627856,213
Lookahead (80),1,50,6573,0,6571,2,1859458614,714579156,162
Lookahead (90),1,50,6573,0,6571,2,2582888519,912302937,182
Lookahead (100),1,50,6573,0,6571,2,2904644833,1009828598,202
Null Prefetcher,1,50,6573,0,1404,5169,11022131627,10521795750,5169
Block (1),1,50,6573,0,1404,5169,284461228412,283540507826,5169
Block (10),1,50,6573,0,1404,5169,294672215572,293711622407,5169
Block (50),1,50,6573,0,1406,5167,292690791445,291734622457,5167
Block (100),1,50,6573,0,1414,5159,289577599649,288669831880,5159
Block (250),1,50,6573,0,1588,4985,285030674395,284130489624,4985
Block (500),1,50,6573,0,2129,4444,250924070044,250089659124,4444
Block (1000),1,50,6573,0,3443,3130,177791244177,177099453703,3130
Block (5000),1,50,6573,0,6149,424,23436594938,22786995258,424
Block (10000),1,50,6573,0,6433,140,9422108035,8138204126,140
Block (20000),1,50,6573,0,6531,42,6219691531,3531374895,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4419800655,3808045327,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2564953958,1993242879,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1644006131,1184397679,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1532901528,1006999781,826
CTE Lookahead (5),1,50,6573,0,6024,549,1038339638,658065715,549
CTE Lookahead (6),1,50,6573,0,6168,405,1414394061,944803619,405
CTE Lookahead (7),1,50,6573,0,6266,307,2148878033,1516738844,307
CTE Lookahead (8),1,50,6573,0,6336,237,3714975339,2896621952,237
CTE Lookahead (9),1,50,6573,0,6376,197,7706418219,6670043274,197
CTE Lookahead (10),1,50,6573,0,6414,159,16510685151,15339368638,159
Lookahead (1),1,50,6573,0,4171,2402,10964487430,10273073049,4804
Lookahead (2),1,50,6573,0,5273,1300,8769001220,8100223715,3900
Lookahead (3),1,50,6573,0,5754,819,7549591883,6857215043,3276
Lookahead (4),1,50,6573,0,6029,544,6063358366,5432111138,2720
Lookahead (5),1,50,6573,0,6170,403,5716578184,5048773135,2418
Lookahead (10),1,50,6573,0,6448,125,3750105029,3037919954,1375
Lookahead (20),1,50,6573,0,6541,32,2240097593,1560359364,672
Lookahead (30),1,50,6573,0,6558,15,2098800995,1248026102,465
Lookahead (40),1,50,6573,0,6566,7,1577967184,801559176,287
Lookahead (50),1,50,6573,0,6569,4,1637376908,725624570,204
Lookahead (60),1,50,6573,0,6570,3,1302434072,672140026,183
Lookahead (70),1,50,6573,0,6570,3,1604853839,689679703,213
Lookahead (80),1,50,6573,0,6571,2,1952828910,739625024,162
Lookahead (90),1,50,6573,0,6571,2,2504857861,902835605,182
Lookahead (100),1,50,6573,0,6571,2,2904476212,958352541,202
Null Prefetcher,1,50,6573,0,1404,5169,11008859551,10550312404,5169
Block (1),1,50,6573,0,1404,5169,281677608069,280731281758,5169
Block (10),1,50,6573,0,1404,5169,302192603031,301266305192,5169
Block (50),1,50,6573,0,1406,5167,292209339274,291247178252,5167
Block (100),1,50,6573,0,1414,5159,297327381588,296396795111,5159
Block (250),1,50,6573,0,1588,4985,283725628181,282804864275,4985
Block (500),1,50,6573,0,2129,4444,251060612568,250230110941,4444
Block (1000),1,50,6573,0,3443,3130,183563580453,182863669242,3130
Block (5000),1,50,6573,0,6149,424,23045272391,22370297072,424
Block (10000),1,50,6573,0,6433,140,9325864266,8108539081,140
Block (20000),1,50,6573,0,6531,42,6293853813,3573029704,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4432942842,3802157262,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,1946914948,1520309090,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1306390865,911667901,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1152452319,756747891,826
CTE Lookahead (5),1,50,6573,0,6024,549,1081687515,689672556,549
CTE Lookahead (6),1,50,6573,0,6168,405,1276412495,835069311,405
CTE Lookahead (7),1,50,6573,0,6266,307,2073303263,1477392581,307
CTE Lookahead (8),1,50,6573,0,6336,237,3731633926,2957964841,237
CTE Lookahead (9),1,50,6573,0,6376,197,7430729964,6434422222,197
CTE Lookahead (10),1,50,6573,0,6414,159,16484462169,15388967280,159
Lookahead (1),1,50,6573,0,4171,2402,10750759384,10084245318,4804
Lookahead (2),1,50,6573,0,5273,1300,8986109052,8309401208,3900
Lookahead (3),1,50,6573,0,5754,819,7588418753,6896593527,3276
Lookahead (4),1,50,6573,0,6029,544,5485079854,4887360970,2720
Lookahead (5),1,50,6573,0,6170,403,5201883559,4529634835,2418
Lookahead (10),1,50,6573,0,6448,125,3813795396,3119583333,1375
Lookahead (20),1,50,6573,0,6541,32,2272502160,1580369592,672
Lookahead (30),1,50,6573,0,6558,15,1988806148,1205513235,465
Lookahead (40),1,50,6573,0,6566,7,1300726563,674831047,287
Lookahead (50),1,50,6573,0,6569,4,1255842782,588454248,204
Lookahead (60),1,50,6573,0,6570,3,1276098427,649042039,183
Lookahead (70),1,50,6573,0,6570,3,1876593464,833932371,213
Lookahead (80),1,50,6573,0,6571,2,1759159615,637754601,162
Lookahead (90),1,50,6573,0,6571,2,2622160155,871246612,182
Lookahead (100),1,50,6573,0,6571,2,2968017920,1005002412,202
Null Prefetcher,1,50,6573,0,1404,5169,9753339296,9312524278,5169
Block (1),1,50,6573,0,1404,5169,287077738457,286142759429,5169
Block (10),1,50,6573,0,1404,5169,296410551648,295486455526,5169
Block (50),1,50,6573,0,1406,5167,283702350753,282740610201,5167
Block (100),1,50,6573,0,1414,5159,296294774372,295342777905,5159
Block (250),1,50,6573,0,1588,4985,278335204541,277411246783,4985
Block (500),1,50,6573,0,2129,4444,256720238937,255885958438,4444
Block (1000),1,50,6573,0,3443,3130,177049115407,176336021408,3130
Block (5000),1,50,6573,0,6149,424,23877929600,23187674127,424
Block (10000),1,50,6573,0,6433,140,9421886631,8105110496,140
Block (20000),1,50,6573,0,6531,42,6377501449,3645716549,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4538445015,3866276479,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2570592127,2035897814,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1506732030,1086726453,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1255887756,833860692,826
CTE Lookahead (5),1,50,6573,0,6024,549,1253833892,845642767,549
CTE Lookahead (6),1,50,6573,0,6168,405,1571676196,1063674929,405
CTE Lookahead (7),1,50,6573,0,6266,307,2007020061,1465120884,307
CTE Lookahead (8),1,50,6573,0,6336,237,3729990359,2931851683,237
CTE Lookahead (9),1,50,6573,0,6376,197,7639192412,6580986355,197
CTE Lookahead (10),1,50,6573,0,6414,159,16828210443,15721021856,159
Lookahead (1),1,50,6573,0,4171,2402,10417861500,9738543703,4804
Lookahead (2),1,50,6573,0,5273,1300,8975575260,8287757423,3900
Lookahead (3),1,50,6573,0,5754,819,7356575884,6671031866,3276
Lookahead (4),1,50,6573,0,6029,544,5807536803,5185939163,2720
Lookahead (5),1,50,6573,0,6170,403,5599473813,4917780830,2418
Lookahead (10),1,50,6573,0,6448,125,3377043331,2725543184,1375
Lookahead (20),1,50,6573,0,6541,32,2521400455,1722835438,672
Lookahead (30),1,50,6573,0,6558,15,1950516936,1251393378,465
Lookahead (40),1,50,6573,0,6566,7,1428078654,749850092,287
Lookahead (50),1,50,6573,0,6569,4,1338869895,635060229,204
Lookahead (60),1,50,6573,0,6570,3,1079400835,513617532,183
Lookahead (70),1,50,6573,0,6570,3,1744597279,791807065,213
Lookahead (80),1,50,6573,0,6571,2,2147364498,750030415,162
Lookahead (90),1,50,6573,0,6571,2,2454105784,895982714,182
Lookahead (100),1,50,6573,0,6571,2,2785730486,942977602,202
Null Prefetcher,1,50,6573,0,1404,5169,10967425162,10476792290,5169
Block (1),1,50,6573,0,1404,5169,296147922446,295143472886,5169
Block (10),1,50,6573,0,1404,5169,297381099100,296445749723,5169
Block (50),1,50,6573,0,1406,5167,297548476176,296604621429,5167
Block (100),1,50,6573,0,1414,5159,297384254276,296451947338,5159
Block (250),1,50,6573,0,1588,4985,282401994970,281501239290,4985
Block (500),1,50,6573,0,2129,4444,244808980207,243963429661,4444
Block (1000),1,50,6573,0,3443,3130,170685042347,169961639094,3130
Block (5000),1,50,6573,0,6149,424,25498168964,24836793550,424
Block (10000),1,50,6573,0,6433,140,10123247393,8756575553,140
Block (20000),1,50,6573,0,6531,42,6092228876,3401188182,42
CTE Lookahead (1),1,50,6573,0,1404,5169,3959528335,3378068823,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2096711161,1622233483,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1670826864,1165451464,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1199205834,772574167,826
CTE Lookahead (5),1,50,6573,0,6024,549,1079071834,706818378,549
CTE Lookahead (6),1,50,6573,0,6168,405,1475164290,996620472,405
CTE Lookahead (7),1,50,6573,0,6266,307,2036310903,1480281045,307
CTE Lookahead (8),1,50,6573,0,6336,237,3692299953,2884337802,237
CTE Lookahead (9),1,50,6573,0,6376,197,7446510312,6477684766,197
CTE Lookahead (10),1,50,6573,0,6414,159,16462924431,15464444688,159
Lookahead (1),1,50,6573,0,4171,2402,11031056371,10351902924,4804
Lookahead (2),1,50,6573,0,5273,1300,9243223224,8573305493,3900
Lookahead (3),1,50,6573,0,5754,819,7349263928,6664314941,3276
Lookahead (4),1,50,6573,0,6029,544,6737548113,6080008193,2720
Lookahead (5),1,50,6573,0,6170,403,6080004249,5422484057,2418
Lookahead (10),1,50,6573,0,6448,125,3721159967,3051535145,1375
Lookahead (20),1,50,6573,0,6541,32,2479813796,1693967851,672
Lookahead (30),1,50,6573,0,6558,15,2182108104,1375155932,465
Lookahead (40),1,50,6573,0,6566,7,1589553721,814038451,287
Lookahead (50),1,50,6573,0,6569,4,1318491965,616315103,204
