Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
Lookahead (30),171677,164352,14091,0,14069,22,3459959720,1863591258,682
Lookahead (40),171677,164352,14091,0,14077,14,3758863808,1857566786,574
Lookahead (50),171677,164352,14091,0,14081,10,3575165047,1518050277,510
Lookahead (60),171677,164352,14091,0,14085,6,3621178671,1351738043,366
Lookahead (70),171677,164352,14091,0,14085,6,4519315344,1536072808,426
Lookahead (80),171677,164352,14091,0,14087,4,5170672761,1522751733,324
Lookahead (90),171677,164352,14091,0,14088,3,4441917254,1265224745,273
Lookahead (100),171677,164352,14091,0,14088,3,5804643832,1411220338,303
Null Prefetcher,171677,164352,14091,0,5109,8982,19068143249,18161811303,8982
Block (1),171677,164352,14091,0,5109,8982,478670543562,477093569118,8982
Block (10),171677,164352,14091,0,5110,8981,487407917696,485680825685,8981
Block (50),171677,164352,14091,0,5118,8973,484015521312,482346730651,8973
Block (100),171677,164352,14091,0,5160,8931,488866595298,487183856361,8931
Block (250),171677,164352,14091,0,5600,8491,461379540751,459743479053,8491
Block (500),171677,164352,14091,0,6768,7323,400037626148,398586397568,7323
Block (1000),171677,164352,14091,0,10431,3660,203288638781,202173745967,3660
Block (5000),171677,164352,14091,0,13770,321,18860380340,17011318465,321
Block (10000),171677,164352,14091,0,13990,101,13591316739,8976740410,101
Block (20000),171677,164352,14091,0,14059,32,15626847907,2857153377,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,6960040499,5914875463,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4404197853,3342428217,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2338455447,1608318398,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2051611915,1284805243,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2461313238,1487765147,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3117010120,2093309287,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5291921584,4057748095,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11513431661,9908594295,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27545751538,25512661973,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,71060092999,68888037443,216
Lookahead (1),171677,164352,14091,0,10034,4057,17991342516,16693991509,8114
Lookahead (2),171677,164352,14091,0,12099,1992,13844808336,12572525006,5976
Lookahead (3),171677,164352,14091,0,12883,1208,11556156140,10237043141,4832
Lookahead (4),171677,164352,14091,0,13283,808,9874251909,8582704445,4040
Lookahead (5),171677,164352,14091,0,13503,588,8924518034,7581093483,3528
Lookahead (10),171677,164352,14091,0,13917,174,5789203642,4453026237,1914
Lookahead (20),171677,164352,14091,0,14037,54,3951734535,2493134774,1134
Lookahead (30),171677,164352,14091,0,14069,22,3156449950,1671265673,682
Lookahead (40),171677,164352,14091,0,14077,14,3324363200,1662135291,574
Lookahead (50),171677,164352,14091,0,14081,10,4030940876,1688383905,510
Lookahead (60),171677,164352,14091,0,14085,6,3493110404,1328427514,366
Lookahead (70),171677,164352,14091,0,14085,6,4779727649,1695518785,426
Lookahead (80),171677,164352,14091,0,14087,4,5377655458,1591429623,324
Lookahead (90),171677,164352,14091,0,14088,3,4864603121,1429877295,273
Lookahead (100),171677,164352,14091,0,14088,3,5924684655,1646366861,303
Null Prefetcher,171677,164352,14091,0,5109,8982,19207856873,18272878235,8982
Block (1),171677,164352,14091,0,5109,8982,480689984050,478968874033,8982
Block (10),171677,164352,14091,0,5110,8981,484059486646,482292411775,8981
Block (50),171677,164352,14091,0,5118,8973,493577669195,491829237805,8973
Block (100),171677,164352,14091,0,5160,8931,486541261191,484824283982,8931
Block (250),171677,164352,14091,0,5600,8491,467116152005,465472074762,8491
Block (500),171677,164352,14091,0,6768,7323,401258852235,399736856919,7323
Block (1000),171677,164352,14091,0,10431,3660,204787240320,203623103062,3660
Block (5000),171677,164352,14091,0,13770,321,18557525419,16726895549,321
Block (10000),171677,164352,14091,0,13990,101,13130217799,8545097630,101
Block (20000),171677,164352,14091,0,14059,32,15939493154,2779979103,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,8057730314,6868502794,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4212087214,3177152946,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2946291578,2011278523,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,1864469060,1176310361,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2144747082,1359997737,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3169091371,2094963804,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5329259937,4015132730,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11743042323,10013297209,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27663686102,25638818690,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,72843201268,70647184109,216
Lookahead (1),171677,164352,14091,0,10034,4057,17784085368,16450852079,8114
Lookahead (2),171677,164352,14091,0,12099,1992,13184769032,11937957092,5976
Lookahead (3),171677,164352,14091,0,12883,1208,11764334116,10519957689,4832
Lookahead (4),171677,164352,14091,0,13283,808,10083598890,8756234770,4040
Lookahead (5),171677,164352,14091,0,13503,588,8253222296,6976553127,3528
Lookahead (10),171677,164352,14091,0,13917,174,5643027732,4349803944,1914
Lookahead (20),171677,164352,14091,0,14037,54,4329041690,2827613535,1134
Lookahead (30),171677,164352,14091,0,14069,22,3498737052,1879862742,682
Lookahead (40),171677,164352,14091,0,14077,14,3456319057,1727247961,574
Lookahead (50),171677,164352,14091,0,14081,10,3971732706,1630169917,510
Lookahead (60),171677,164352,14091,0,14085,6,3513357292,1338211507,366
Lookahead (70),171677,164352,14091,0,14085,6,4715007369,1711771987,426
Lookahead (80),171677,164352,14091,0,14087,4,5285480101,1451872619,324
Lookahead (90),171677,164352,14091,0,14088,3,4584446989,1303844181,273
Lookahead (100),171677,164352,14091,0,14088,3,6025986074,1658971980,303
Null Prefetcher,171677,164352,14091,0,5109,8982,20001323897,19042109333,8982
Block (1),171677,164352,14091,0,5109,8982,490339727088,488695759707,8982
Block (10),171677,164352,14091,0,5110,8981,492995300953,491280647328,8981
Block (50),171677,164352,14091,0,5118,8973,493912227443,492237728609,8973
Block (100),171677,164352,14091,0,5160,8931,490451397462,488728138303,8931
Block (250),171677,164352,14091,0,5600,8491,474813510349,473180414242,8491
Block (500),171677,164352,14091,0,6768,7323,406749682407,405233215300,7323
Block (1000),171677,164352,14091,0,10431,3660,204807340165,203666993969,3660
Block (5000),171677,164352,14091,0,13770,321,19637653889,17835087861,321
Block (10000),171677,164352,14091,0,13990,101,13394049410,8805129754,101
Block (20000),171677,164352,14091,0,14059,32,15728057564,2826017834,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7602667670,6446496409,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4284819945,3272333698,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2828399948,1977742584,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2370387372,1522994808,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2315155572,1439733843,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3147530350,2089737174,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5377359708,4116760755,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11999700194,10248282190,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27414910922,25338938021,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,71036261555,68791888430,216
Lookahead (1),171677,164352,14091,0,10034,4057,18251440576,16931654335,8114
Lookahead (2),171677,164352,14091,0,12099,1992,13036981582,11798048089,5976
Lookahead (3),171677,164352,14091,0,12883,1208,11986767910,10660402483,4832
Lookahead (4),171677,164352,14091,0,13283,808,10479758300,9194575269,4040
Lookahead (5),171677,164352,14091,0,13503,588,7735731923,6507596946,3528
Lookahead (10),171677,164352,14091,0,13917,174,5923649869,4534489729,1914
Lookahead (20),171677,164352,14091,0,14037,54,4221704892,2842751853,1134
Lookahead (30),171677,164352,14091,0,14069,22,3416514450,1858391214,682
Lookahead (40),171677,164352,14091,0,14077,14,3636554891,1760915123,574
Lookahead (50),171677,164352,14091,0,14081,10,4106283993,1853334105,510
Lookahead (60),171677,164352,14091,0,14085,6,3513341756,1327949660,366
Lookahead (70),171677,164352,14091,0,14085,6,4835482907,1623816579,426
Lookahead (80),171677,164352,14091,0,14087,4,5264858467,1453501228,324
Lookahead (90),171677,164352,14091,0,14088,3,4427071126,1236993345,273
Lookahead (100),171677,164352,14091,0,14088,3,5836100119,1507599348,303
Null Prefetcher,171677,164352,14091,0,5109,8982,17378380522,16536970645,8982
Block (1),171677,164352,14091,0,5109,8982,496749414791,495015983270,8982
Block (10),171677,164352,14091,0,5110,8981,490560191498,488839600351,8981
Block (50),171677,164352,14091,0,5118,8973,494938812625,493192238129,8973
Block (100),171677,164352,14091,0,5160,8931,501957080117,500199399226,8931
Block (250),171677,164352,14091,0,5600,8491,477826782626,476169529944,8491
Block (500),171677,164352,14091,0,6768,7323,406108393987,404607455961,7323
Block (1000),171677,164352,14091,0,10431,3660,204913643357,203763616458,3660
Block (5000),171677,164352,14091,0,13770,321,19200669417,17379568887,321
Block (10000),171677,164352,14091,0,13990,101,12821792007,8320842675,101
Block (20000),171677,164352,14091,0,14059,32,15540733803,2692910381,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7174952953,6072437323,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,4216909327,3169406119,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2522307742,1744688096,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2342837788,1445560370,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,1998374973,1265240525,817
CTE Lookahead (6),171677,164352,14091,0,13502,589,3234362779,2186189455,589
CTE Lookahead (7),171677,164352,14091,0,13668,423,5410988725,4025282112,423
CTE Lookahead (8),171677,164352,14091,0,13750,341,11728388437,9906514844,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27742682244,25735506637,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,73340583711,71114479040,216
Lookahead (1),171677,164352,14091,0,10034,4057,17749510420,16391518513,8114
Lookahead (2),171677,164352,14091,0,12099,1992,14124066323,12828351429,5976
Lookahead (3),171677,164352,14091,0,12883,1208,11985633509,10666075732,4832
Lookahead (4),171677,164352,14091,0,13283,808,10295109493,8967346464,4040
Lookahead (5),171677,164352,14091,0,13503,588,8245781649,6954677764,3528
Lookahead (10),171677,164352,14091,0,13917,174,6009626822,4589657237,1914
Lookahead (20),171677,164352,14091,0,14037,54,4244100051,2829130381,1134
Lookahead (30),171677,164352,14091,0,14069,22,3284535085,1818940151,682
Lookahead (40),171677,164352,14091,0,14077,14,4051293244,1868229828,574
Lookahead (50),171677,164352,14091,0,14081,10,3762740071,1600739452,510
Lookahead (60),171677,164352,14091,0,14085,6,3750998591,1428904908,366
Lookahead (70),171677,164352,14091,0,14085,6,4715334208,1619368422,426
Lookahead (80),171677,164352,14091,0,14087,4,5274299541,1543656159,324
Lookahead (90),171677,164352,14091,0,14088,3,4994576980,1469435052,273
Lookahead (100),171677,164352,14091,0,14088,3,6074818678,1609248525,303
Null Prefetcher,171677,164352,14091,0,5109,8982,18170801914,17319079932,8982
Block (1),171677,164352,14091,0,5109,8982,501587969718,499842181948,8982
Block (10),171677,164352,14091,0,5110,8981,498533306649,496793742233,8981
Block (50),171677,164352,14091,0,5118,8973,486907718714,485188860835,8973
Block (100),171677,164352,14091,0,5160,8931,497852148047,496189716706,8931
Block (250),171677,164352,14091,0,5600,8491,464308341148,462698196388,8491
Block (500),171677,164352,14091,0,6768,7323,403333164303,401852523472,7323
Block (1000),171677,164352,14091,0,10431,3660,201183650671,200019820856,3660
