Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
Null Prefetcher,1,50,6573,0,1404,5169,10263919432,9457597441,5169
Lookahead (1),1,50,6573,0,4171,2402,9065848208,8457249263,4804
Lookahead (2),1,50,6648,0,5348,1300,8275745755,7621108008,3900
Lookahead (3),1,50,6818,0,5999,819,8151349857,7467020626,3276
Lookahead (4),1,50,6960,0,6416,544,6811396109,6139461833,2720
Lookahead (5),1,50,7129,0,6726,403,6481932413,5818220062,2418
Lookahead (10),1,50,7655,0,7530,125,4161562983,3426526180,1375
Lookahead (15),1,50,7937,0,7879,58,3278497048,2429413456,928
Lookahead (20),1,50,8047,0,8015,32,2645706332,1843563798,672
Lookahead (25),1,50,8261,0,8240,21,2061903878,1389918296,546
Lookahead (30),1,50,8244,0,8229,15,2248740789,1426651394,465
Lookahead (35),1,50,8301,0,8290,11,1982613396,1146294004,396
Lookahead (40),1,50,8469,0,8462,7,1900725327,1065316933,287
Lookahead (45),1,50,8490,0,8483,7,1680279867,942474701,322
Lookahead (50),1,50,8347,0,8343,4,1589899312,794818620,204
Block (10000),1,50,6573,0,6433,140,9753701377,8568497424,140
Block (20000),1,50,6573,0,6531,42,6046567828,3627641355,42
CTE Lookahead (1),1,50,6573,0,1404,5169,3740350392,3165059583,5169
CTE Lookahead (2),1,50,6591,0,4189,2402,2054751492,1608308761,2402
CTE Lookahead (3),1,50,11820,0,10520,1300,1684711613,1173172312,1300
CTE Lookahead (4),1,50,17204,0,16385,819,1607893024,910088070,819
CTE Lookahead (5),1,50,38760,0,38216,544,3147491406,1195498359,544
Null Prefetcher,171677,164352,14091,0,5109,8982,20807283268,19867481698,8982
Lookahead (1),171677,164352,14091,0,10034,4057,18361529366,17030337150,8114
Lookahead (2),171677,164352,14161,0,12169,1992,14853977431,13649423995,5976
Lookahead (3),171677,164352,14569,0,13361,1208,12570263296,11341832435,4832
Lookahead (4),171677,164352,14966,0,14158,808,9693197174,8473602641,4040
Lookahead (5),171677,164352,15354,0,14766,588,8546610061,7284348560,3528
Lookahead (10),171677,164352,16721,0,16547,174,6905003992,5365498546,1914
Lookahead (15),171677,164352,17161,0,17068,93,5755127737,4026755855,1488
Lookahead (20),171677,164352,17767,0,17713,54,5272147722,3358605124,1134
Lookahead (25),171677,164352,17576,0,17540,36,5129644086,3046356632,936
Lookahead (30),171677,164352,17854,0,17832,22,4256856932,2228005959,682
Lookahead (35),171677,164352,18016,0,18000,16,4104939636,1985616998,576
Lookahead (40),171677,164352,18052,0,18038,14,4436628111,1919876289,574
Lookahead (45),171677,164352,18169,0,18157,12,5195486473,2186551888,552
Lookahead (50),171677,164352,18243,0,18233,10,5143246057,2081958205,510
Block (10000),171677,164352,14091,0,13990,101,13946393249,9318858484,101
Block (20000),171677,164352,14091,0,14059,32,16623301859,2902412512,32
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7198417705,6115933279,8982
CTE Lookahead (2),171677,164352,14100,0,10043,4057,2942142957,2256636831,4057
CTE Lookahead (3),171677,164352,25359,0,23367,1992,2910163596,1851685153,1992
CTE Lookahead (4),171677,164352,40888,0,39680,1208,3561160924,1712663389,1208
CTE Lookahead (5),171677,164352,96190,0,95382,808,9063404496,2353629775,808
Null Prefetcher,132308,20756,125009,0,44158,80851,181243203319,172780207750,80851
Lookahead (1),132308,20756,125009,0,88584,36425,166176384329,154285221566,72850
Lookahead (2),132308,20756,126143,0,107727,18416,120297835883,108655684762,55248
Lookahead (3),132308,20756,130141,0,118719,11422,106577595461,94077736229,45688
Lookahead (4),132308,20756,134458,0,126924,7534,89337764704,75980985359,37670
Lookahead (5),132308,20756,138644,0,133226,5418,77385750415,64515439313,32508
Lookahead (10),132308,20756,153096,0,151444,1652,52431239108,39166545736,18172
Lookahead (15),132308,20756,160330,0,159571,759,46022298227,31167498527,12144
Lookahead (20),132308,20756,165066,0,164625,441,40510728084,24670781998,9261
Lookahead (25),132308,20756,168252,0,167977,275,38424022993,20670347264,7150
Lookahead (30),132308,20756,168302,0,168124,178,34158807553,16548090709,5518
Lookahead (35),132308,20756,169504,0,169375,129,35386441269,15915639394,4644
Lookahead (40),132308,20756,170778,0,170683,95,37133162082,15199892609,3895
Lookahead (45),132308,20756,169704,0,169630,74,39128628382,14771393440,3404
Lookahead (50),132308,20756,172365,0,172306,59,39984283707,14046716400,3009
Block (10000),132308,20756,125009,0,123780,1229,108861570231,77542946245,1229
Block (20000),132308,20756,125009,0,124640,369,108052703800,29481498085,369
CTE Lookahead (1),132308,20756,125009,0,44158,80851,62380829180,52688708817,80851
CTE Lookahead (2),132308,20756,125376,0,88951,36425,29612765584,22068234319,36425
CTE Lookahead (3),132308,20756,227539,0,209123,18416,25657681365,16020084678,18416
Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (4),132308,20756,364279,6670,352856,11423,138381370697,30379238400,11423
[0m[[32msuccess[0m] [0mTotal time: 353 s, completed 21-May-2016 19:49:56[0m
