Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (1),1,50,6573,0,1404,5169,4315066959,3496141393,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2018333577,1594151141,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1657115681,1190886752,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1589928462,1109390239,826
CTE Lookahead (5),1,50,6573,0,6024,549,1043422249,712344916,549
Lookahead (1),1,50,6573,0,4171,2402,10812488168,10107518351,4804
Lookahead (2),1,50,6573,0,5273,1300,8860125238,8221401031,3900
Lookahead (3),1,50,6573,0,5754,819,7809473928,7184197686,3276
Lookahead (4),1,50,6573,0,6029,544,6419225257,5769195191,2720
Lookahead (5),1,50,6573,0,6170,403,5249331565,4611633054,2418
Lookahead (10),1,50,6573,0,6448,125,4354376199,3640694203,1375
Lookahead (15),1,50,6573,0,6515,58,2883868679,2227418812,928
Lookahead (20),1,50,6573,0,6541,32,2421712197,1723525613,672
Lookahead (25),1,50,6573,0,6552,21,1956724598,1345243648,546
Lookahead (30),1,50,6573,0,6558,15,2262510319,1493784747,465
Lookahead (35),1,50,6573,0,6562,11,1797290225,1084845344,396
Lookahead (40),1,50,6573,0,6566,7,1645954643,887227791,287
Lookahead (45),1,50,6573,0,6566,7,1601878178,894282832,322
Lookahead (50),1,50,6573,0,6569,4,1181362990,612067823,204
Null Prefetcher,1,50,6573,0,1404,5169,10921748441,10433129292,5169
Block (10000),1,50,6573,0,6433,140,9351150513,8306544133,140
Block (20000),1,50,6573,0,6531,42,5719819269,3388418518,42
CTE Lookahead (1),171677,164352,14091,0,5109,8982,7494925279,6376641803,8982
CTE Lookahead (2),171677,164352,14091,0,10028,4063,3829602694,2909834985,4063
CTE Lookahead (3),171677,164352,14091,0,12046,2045,2871738777,1998516528,2045
CTE Lookahead (4),171677,164352,14091,0,12843,1248,2724041571,1763151633,1248
CTE Lookahead (5),171677,164352,14091,0,13274,817,2294935760,1447654649,817
Lookahead (1),171677,164352,14091,0,10034,4057,19181304643,17814034834,8114
